BUDGET FISCAL YEAR,DEPARTMENT NAME,TOTAL BUDGET
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$145,000.00 "
2015,CITY ADMINISTRATIVE OFFICER,"$145,115.00 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$145,182.00 "
2016,COUNCIL,"$145,317.08 "
2015,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$145,377.00 "
2017,RECREATION AND PARKS,"$145,494.16 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$145,564.96 "
2015,COUNCIL,"$145,620.58 "
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$145,643.70 "
2016,OFFICE OF FINANCE,"$145,813.00 "
2014,CITY CLERK,"$145,830.27 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$145,840.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$145,958.08 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$146,000.00 "
2018,CITY PLANNING,"$146,040.00 "
2012,TRANSPORTATION,"$146,091.88 "
2018,TRANSPORTATION,"$146,095.00 "
2017,TRANSPORTATION,"$146,095.00 "
2016,TRANSPORTATION,"$146,095.00 "
2012,CITY ATTORNEY,"$146,202.00 "
2017,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$146,341.29 "
2016,ZOO,"$146,360.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$146,480.13 "
2017,TRANSPORTATION,"$146,500.00 "
2018,TRANSPORTATION,"$146,500.00 "
2017,TRANSPORTATION,"$146,725.00 "
2013,POLICE,"$146,821.74 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$147,000.00 "
2018,GENERAL SERVICES,"$147,000.00 "
2012,CITY PLANNING,"$147,000.00 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$147,058.92 "
2017,BUILDING AND SAFETY,"$147,260.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$147,266.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$147,300.00 "
2018,RECREATION AND PARKS,"$147,300.00 "
2015,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$147,353.02 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$147,457.00 "
2014,COUNCIL,"$147,490.37 "
2018,AGING,"$147,527.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$147,571.00 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$147,571.00 "
2017,AGING,"$147,574.00 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$147,707.00 "
2017,TRANSPORTATION,"$147,726.51 "
2014,CITY CLERK,"$147,737.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$147,803.00 "
2013,TRANSPORTATION,"$147,833.85 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$147,836.00 "
2018,ZOO,"$147,853.75 "
2017,FIRE,"$147,946.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$147,960.00 "
2016,RECREATION AND PARKS,"$148,000.00 "
2014,ANIMAL SERVICES,"$148,065.87 "
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$148,130.16 "
2017,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$148,208.61 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$148,268.03 "
2017,TRANSPORTATION,"$148,280.00 "
2016,TRANSPORTATION,"$148,280.00 "
2015,TRANSPORTATION,"$148,280.00 "
2015,AGING,"$148,365.00 "
2018,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$148,406.14 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$148,702.32 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$148,717.00 "
2013,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$148,773.80 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$148,780.07 "
2013,AGING,"$148,785.00 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$148,832.00 "
2014,BUILDING AND SAFETY,"$148,843.00 "
2013,BUILDING AND SAFETY,"$148,843.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$148,939.13 "
2015,AGING,"$148,952.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$148,955.70 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$148,958.47 "
2015,CITY ADMINISTRATIVE OFFICER,"$149,000.00 "
2012,AGING,"$149,092.00 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$149,100.00 "
2018,BUILDING AND SAFETY,"$149,167.00 "
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$149,204.23 "
2017,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$149,234.93 "
2017,MAYOR,"$149,240.00 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$149,285.00 "
2015,BUILDING AND SAFETY,"$149,392.00 "
2018,AGING,"$149,495.00 "
2017,RECREATION AND PARKS,"$149,544.42 "
2015,CITY ATTORNEY,"$149,579.16 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$149,622.95 "
2014,AGING,"$149,667.00 "
2014,GENERAL SERVICES,"$149,703.28 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$149,757.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$149,759.37 "
2012,TRANSPORTATION,"$149,786.00 "
2017,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$149,864.49 "
2015,RECREATION AND PARKS,"$149,921.97 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$149,932.25 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$149,958.12 "
2016,TRANSPORTATION,"$149,960.00 "
2015,AGING,"$149,968.00 "
2018,CITY PLANNING,"$149,983.00 "
2016,TRANSPORTATION,"$149,994.39 "
2018,TRANSPORTATION,"$150,000.00 "
2017,CITY ADMINISTRATIVE OFFICER,"$150,000.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2014,CITY ADMINISTRATIVE OFFICER,"$150,000.00 "
2016,TRANSPORTATION,"$150,000.00 "
2018,TRANSPORTATION,"$150,000.00 "
2018,BUILDING AND SAFETY,"$150,000.00 "
2013,CITY EMPLOYEES RETIREMENT SYSTEM,"$150,000.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2015,LIBRARY,"$150,000.00 "
2017,CITY ADMINISTRATIVE OFFICER,"$150,000.00 "
2015,CITY PLANNING,"$150,000.00 "
2014,PENSION,"$150,000.00 "
2018,GENERAL SERVICES,"$150,000.00 "
2017,CITY ETHICS COMMISSION,"$150,000.00 "
2015,BUILDING AND SAFETY,"$150,000.00 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$150,000.00 "
2014,CITY ADMINISTRATIVE OFFICER,"$150,000.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2016,BUILDING AND SAFETY,"$150,000.00 "
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$150,000.00 "
2016,POLICE,"$150,000.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$150,000.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$150,000.00 "
2012,CITY ATTORNEY,"$150,000.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$150,000.00 "
2015,POLICE,"$150,000.00 "
2013,TRANSPORTATION,"$150,000.00 "
2012,COUNCIL,"$150,000.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2018,TRANSPORTATION,"$150,000.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$150,000.00 "
2014,CITY PLANNING,"$150,000.00 "
2015,RECREATION AND PARKS,"$150,000.00 "
2015,CULTURAL AFFAIRS,"$150,000.00 "
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$150,000.00 "
2016,CITY ADMINISTRATIVE OFFICER,"$150,000.00 "
2015,CITY CLERK,"$150,000.00 "
2016,CITY CLERK,"$150,000.00 "
2016,CITY CLERK,"$150,000.00 "
2015,RECREATION AND PARKS,"$150,000.00 "
2016,NON-DEPARTMENTAL - GENERAL,"$150,000.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2013,POLICE,"$150,000.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$150,000.00 "
2016,CULTURAL AFFAIRS,"$150,000.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2016,CITY ADMINISTRATIVE OFFICER,"$150,000.00 "
2017,CULTURAL AFFAIRS,"$150,000.00 "
2015,CITY ADMINISTRATIVE OFFICER,"$150,000.00 "
2018,CITY CLERK,"$150,000.00 "
2016,MAYOR,"$150,000.00 "
2014,CULTURAL AFFAIRS,"$150,000.00 "
2015,TRANSPORTATION,"$150,000.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2018,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$150,000.00 "
2018,TRANSPORTATION,"$150,000.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2017,CULTURAL AFFAIRS,"$150,000.00 "
2016,TRANSPORTATION,"$150,000.00 "
2018,CULTURAL AFFAIRS,"$150,000.00 "
2016,CULTURAL AFFAIRS,"$150,000.00 "
2018,CULTURAL AFFAIRS,"$150,000.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2014,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$150,000.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$150,000.00 "
2016,TRANSPORTATION,"$150,000.00 "
2018,TRANSPORTATION,"$150,000.00 "
2018,CITY ADMINISTRATIVE OFFICER,"$150,000.00 "
2018,TRANSPORTATION,"$150,000.00 "
2018,TRANSPORTATION,"$150,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$150,000.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2017,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$150,000.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,000.00 "
2018,RECREATION AND PARKS,"$150,057.92 "
2018,CITY ADMINISTRATIVE OFFICER,"$150,065.00 "
2017,RECREATION AND PARKS,"$150,067.98 "
2013,TRANSPORTATION,"$150,068.00 "
2014,TRANSPORTATION,"$150,068.00 "
2015,CULTURAL AFFAIRS,"$150,087.00 "
2014,CITY ADMINISTRATIVE OFFICER,"$150,087.00 "
2016,CULTURAL AFFAIRS,"$150,087.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$150,212.27 "
2014,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$150,244.25 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$150,336.00 "
2014,MAYOR,"$150,351.01 "
2017,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$150,396.88 "
2018,LIBRARY,"$150,423.00 "
2014,POLICE,"$150,499.76 "
2015,ZOO,"$150,528.00 "
2013,MAYOR,"$150,535.13 "
2014,MAYOR,"$150,715.80 "
2017,CULTURAL AFFAIRS,"$150,750.00 "
2013,GENERAL SERVICES,"$150,752.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$150,759.63 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$150,803.00 "
2014,COUNCIL,"$150,842.73 "
2015,ANIMAL SERVICES,"$150,848.00 "
2015,CITY EMPLOYEES RETIREMENT SYSTEM,"$150,935.00 "
2016,COUNCIL,"$151,260.00 "
2017,RECREATION AND PARKS,"$151,360.00 "
2017,CITY CLERK,"$151,425.00 "
2012,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$151,436.97 "
2014,BUILDING AND SAFETY,"$151,474.00 "
2013,BUILDING AND SAFETY,"$151,474.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$151,505.54 "
2017,RECREATION AND PARKS,"$151,517.89 "
2016,BUILDING AND SAFETY,"$151,561.00 "
2012,GENERAL SERVICES,"$151,641.16 "
2014,TRANSPORTATION,"$151,673.00 "
2012,AGING,"$151,766.00 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$151,786.00 "
2012,ZOO,"$151,860.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$151,903.81 "
2015,EMERGENCY OPERATIONS BOARD,"$151,958.72 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$152,000.00 "
2018,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$152,065.26 "
2018,ZOO,"$152,500.00 "
2016,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$152,518.59 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$152,591.48 "
2016,PENSION,"$152,635.00 "
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$152,636.76 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$152,779.20 "
2014,MAYOR,"$152,880.02 "
2014,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$152,885.72 "
2015,TRANSPORTATION,"$153,095.00 "
2018,INFORMATION TECHNOLOGY AGENCY,"$153,314.00 "
2016,INFORMATION TECHNOLOGY AGENCY,"$153,314.00 "
2018,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$153,467.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$153,475.14 "
2012,GENERAL SERVICES,"$153,721.00 "
2014,CITY PLANNING,"$153,750.00 "
2015,DISABILITY,"$153,863.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$153,874.00 "
2013,PERSONNEL,"$154,000.00 "
2017,CITY ETHICS COMMISSION,"$154,037.00 "
2016,RECREATION AND PARKS,"$154,057.00 "
2013,MAYOR,"$154,092.77 "
2012,MAYOR,"$154,113.96 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$154,126.00 "
2018,CULTURAL AFFAIRS,"$154,148.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$154,161.99 "
2017,CITY ETHICS COMMISSION,"$154,200.00 "
2014,OFFICE OF FINANCE,"$154,232.00 "
2018,CITY ADMINISTRATIVE OFFICER,"$154,241.00 "
2012,MAYOR,"$154,346.38 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$154,375.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$154,405.22 "
2015,EMERGENCY OPERATIONS BOARD,"$154,444.00 "
2016,CITY ADMINISTRATIVE OFFICER,"$154,652.00 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$154,767.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$154,779.04 "
2013,MAYOR,"$154,879.97 "
2017,POLICE,"$154,901.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$155,000.00 "
2016,CITY EMPLOYEES RETIREMENT SYSTEM,"$155,000.00 "
2014,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$155,000.00 "
2015,COUNCIL,"$155,000.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$155,093.14 "
2017,ZOO,"$155,164.00 "
2015,GENERAL SERVICES,"$155,168.76 "
2018,COUNCIL,"$155,172.00 "
2017,MAYOR,"$155,249.00 "
2013,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$155,294.14 "
2018,CITY CLERK,"$155,334.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$155,346.00 "
2016,CULTURAL AFFAIRS,"$155,390.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$155,428.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$155,459.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$155,546.00 "
2016,CULTURAL AFFAIRS,"$155,690.65 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$155,810.09 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$156,250.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$156,339.30 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$156,379.85 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$156,526.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$156,693.74 "
2012,COUNCIL,"$156,693.74 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$156,868.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$156,929.00 "
2018,PENSION,"$157,000.00 "
2018,TRANSPORTATION,"$157,000.00 "
2013,CONTROLLER,"$157,000.00 "
2012,TRANSPORTATION,"$157,000.00 "
2017,TRANSPORTATION,"$157,000.00 "
2014,TRANSPORTATION,"$157,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$157,000.00 "
2017,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$157,000.95 "
2012,EMERGENCY OPERATIONS BOARD,"$157,176.26 "
2017,TRANSPORTATION,"$157,200.00 "
2017,TRANSPORTATION,"$157,200.00 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$157,219.97 "
2015,MAYOR,"$157,421.08 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$157,426.15 "
2012,LIBRARY,"$157,454.00 "
2013,LIBRARY,"$157,454.00 "
2014,LIBRARY,"$157,454.00 "
2016,LIBRARY,"$157,454.00 "
2015,LIBRARY,"$157,454.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$157,605.03 "
2017,CITY ATTORNEY,"$157,694.86 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$157,805.20 "
2013,TRANSPORTATION,"$157,812.47 "
2017,RECREATION AND PARKS,"$157,845.90 "
2012,POLICE,"$157,974.00 "
2012,PENSION,"$158,000.00 "
2014,TRANSPORTATION,"$158,000.00 "
2015,CITY CLERK,"$158,074.32 "
2018,OFFICE OF FINANCE,"$158,185.69 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$158,322.00 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$158,324.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$158,534.55 "
2017,CITY EMPLOYEES RETIREMENT SYSTEM,"$158,560.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$158,621.65 "
2012,CITY CLERK,"$158,659.13 "
2018,TRANSPORTATION,"$158,759.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$158,798.92 "
2018,CULTURAL AFFAIRS,"$158,800.00 "
2017,FIRE,"$159,000.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$159,152.00 "
2015,PENSION,"$159,255.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$159,272.80 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$159,359.00 "
2017,PENSION,"$159,443.00 "
2016,CITY CLERK,"$159,531.28 "
2016,FIRE,"$159,541.00 "
2014,CITY ETHICS COMMISSION,"$159,615.00 "
2012,GENERAL SERVICES,"$159,656.85 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$159,703.17 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$159,741.00 "
2013,MAYOR,"$159,757.15 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$159,789.00 "
2016,CITY ADMINISTRATIVE OFFICER,"$159,876.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$160,000.00 "
2016,PENSION,"$160,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$160,000.00 "
2012,POLICE,"$160,000.00 "
2014,CITY CLERK,"$160,000.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$160,000.00 "
2017,CITY ADMINISTRATIVE OFFICER,"$160,000.00 "
2017,COUNCIL,"$160,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$160,000.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$160,088.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$160,242.85 "
2014,CITY CLERK,"$160,300.00 "
2012,CITY ADMINISTRATIVE OFFICER,"$160,304.19 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$160,473.85 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$160,523.53 "
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$160,523.58 "
2015,TRANSPORTATION,"$160,563.79 "
2016,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,"$160,630.00 "
2015,CITY ATTORNEY,"$160,690.43 "
2014,CULTURAL AFFAIRS,"$160,864.00 "
2015,MAYOR,"$160,891.58 "
2012,CITY ADMINISTRATIVE OFFICER,"$160,919.00 "
2013,CITY CLERK,"$160,963.82 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$161,000.00 "
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$161,201.71 "
2013,MAYOR,"$161,349.00 "
2017,GENERAL SERVICES,"$161,435.60 "
2017,RECREATION AND PARKS,"$161,456.80 "
2012,TRANSPORTATION,"$161,495.27 "
2014,RECREATION AND PARKS,"$161,526.62 "
2018,CITY EMPLOYEES RETIREMENT SYSTEM,"$161,530.00 "
2017,TRANSPORTATION,"$161,634.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$161,661.77 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$161,661.77 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$161,661.77 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$161,661.77 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$161,661.77 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$161,664.00 "
2018,PERSONNEL,"$162,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$162,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$162,000.00 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$162,119.00 "
2014,PUBLIC WORKS - STREET SERVICES,"$162,129.00 "
2015,PUBLIC WORKS - STREET SERVICES,"$162,129.00 "
2016,PUBLIC WORKS - STREET SERVICES,"$162,129.00 "
2013,PUBLIC WORKS - STREET SERVICES,"$162,129.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$162,260.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$162,260.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$162,260.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$162,260.00 "
2017,RECREATION AND PARKS,"$162,374.59 "
2015,INFORMATION TECHNOLOGY AGENCY,"$162,410.00 "
2014,AGING,"$162,576.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$162,940.00 "
2012,COUNCIL,"$162,975.00 "
2012,MAYOR,"$162,997.34 "
2016,TRANSPORTATION,"$163,014.70 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$163,053.31 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$163,112.00 "
2018,ANIMAL SERVICES,"$163,128.62 "
2016,AGING,"$163,179.00 "
2012,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$163,185.00 "
2017,RECREATION AND PARKS,"$163,330.68 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$163,482.00 "
2016,RECREATION AND PARKS,"$163,488.85 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$163,627.67 "
2013,MAYOR,"$163,639.57 "
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$163,709.50 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$163,723.98 "
2014,AGING,"$163,874.00 "
2014,CITY ETHICS COMMISSION,"$164,000.00 "
2016,PUBLIC WORKS - SANITATION,"$164,015.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$164,118.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$164,188.00 "
